Nombre del archivo,Placa,Placa detectada,errores,similaridad
"E1,CAM1,250211085042958,5121JFB,9997.jpg",5121JFB,5121JB,"['F->B', 'B-> ']",0.9230769230769231
"E1,CAM1,250211084532427,SE7061DN,9966.jpg",SE7061DN,SE7061N,"['D->N', 'N-> ']",0.9333333333333333
"E1,CAM1,250211084828043,3483JLF,9776.jpg",3483JLF,3483JLR,['F->R'],0.8571428571428571
"E1,CAM1,250211080335371,S2726XI,9646.jpg",S2726XI,5272GXL,"['S->5', '6->G', 'I->L']",0.5714285714285714
"E1,CAM1,250211071901667,0798LJC,9191.jpg",0798LJC,0788LJC,['9->8'],0.8571428571428571
"E1,CAM1,250211073458133,1804KVR,9923.jpg",1804KVR,1304KVR,['8->3'],0.8571428571428571
"E1,CAM1,250211065623769,1433GDD,9987.jpg",1433GDD,11433GOD,"['4->1', '3->4', 'G->3', 'D->G', 'D->O', '->D)']",0.8
"E1,CAM1,250211081108472,4671MWC,9996.jpg",4671MWC,4671MVC,['W->V'],0.8571428571428571
"E1,CAM1,250211085930430,8650LCM,9990.jpg",8650LCM,8850LCM,['6->8'],0.8571428571428571
"E1,CAM1,250211085821371,5656LXB,9805.jpg",5656LXB,5556LXB,['6->5'],0.8571428571428571
"S1,CAM2,250211221958380,8378JBC,9951.jpg",8378JBC,8378JBC,[],1.0
"S1,CAM2,250211084623550,1782GZM,9996.jpg",1782GZM,1782GZM,[],1.0
"S1,CAM2,250211084220047,0731JGX,9967.jpg",0731JGX,0731JGX,[],1.0
"S1,CAM2,250211072956242,1165KGJ,9967.jpg",1165KGJ,1165KGJ,[],1.0
"S1,CAM2,250211084503022,5272GXD,9995.jpg",5272GXD,5272GXD,[],1.0
"S1,CAM2,250211054812842,7814HYM,9977.jpg",7814HYM,7814HYM,[],1.0
"S1,CAM2,250211205522332,4743MJC,10000.jpg",4743MJC,4743MJC,[],1.0
"S1,CAM2,250211074929665,1337JTC,9901.jpg",1337JTC,1337JTC,[],1.0
"S1,CAM2,250211071012601,9036HGK,9998.jpg",9036HGK,9036HGK,[],1.0
"S1,CAM2,250211085447039,4533LGL,9941.jpg",4533LGL,4533LGL,[],1.0
"S1,CAM2,250211085526396,8770HSJ,9993.jpg",8770HSJ,8770HSJ,[],1.0
"S1,CAM2,250211084639142,6982LBY,9904.jpg",6982LBY,6982LBY,[],1.0
"S1,CAM2,250211065851964,2972KVL,9813.jpg",2972KVL,2972KVL,[],1.0
"S1,CAM2,250211074022428,8429LDK,9990.jpg",8429LDK,8429LDK,[],1.0
"S1,CAM2,250211062651940,2836HDM,9843.jpg",2836HDM,2836HDM,[],1.0
"S1,CAM2,250211074852308,7209LKF,9997.jpg",7209LKF,7209LKF,[],1.0
"S1,CAM2,250211070026741,2308JRH,9996.jpg",2308JRH,2308JRH,[],1.0
"S1,CAM2,250211070216391,7324MFB,9988.jpg",7324MFB,7324MFB,[],1.0
"S1,CAM2,250211201015801,7430KZN,9950.jpg",7430KZN,7430KZN,[],1.0
"S1,CAM2,250211053935072,7805HFR,9928.jpg",7805HFR,7805HFR,[],1.0
"S1,CAM2,250211085752248,6590HSH,9909.jpg",6590HSH,6590HSH,[],1.0
"S1,CAM2,250211195827167,8287DMH,9995.jpg",8287DMH,8287DMH,[],1.0
"S1,CAM2,250211055910198,9581KZS,9983.jpg",9581KZS,9581KZS,[],1.0
"S1,CAM2,250211083655267,3713MLT,9994.jpg",3713MLT,3713MLT,[],1.0
"S1,CAM2,250211065050005,1964HGK,9994.jpg",1964HGK,1964HGK,[],1.0
"S1,CAM2,250211213146656,7015DRV,9962.jpg",7015DRV,7015DRV,[],1.0
"S1,CAM2,250211063803780,5129FVL,9992.jpg",5129FVL,5129FVL,[],1.0
"S1,CAM2,250211202718889,9955LKR,9996.jpg",9955LKR,9955LKR,[],1.0
"S1,CAM2,250211070224141,5221DLM,9994.jpg",5221DLM,5221DLM,[],1.0
"S1,CAM2,250211084650595,2824KDK,9998.jpg",2824KDK,2824KDK,[],1.0
"S1,CAM2,250211072139893,5295JBT,9964.jpg",5295JBT,5295JBT,[],1.0
"S1,CAM2,250211073818372,3332JST,10000.jpg",3332JST,3332JST,[],1.0
"S1,CAM2,250211183840213,3274MPC,9913.jpg",3274MPC,3274MPC,[],1.0
